I have	"J'ai"
mouse	une souris [sou-ree]
une souris [sou-ree]	mouse
Oven	le four
le four	Oven
the wall	le mur [meur]
le mur [meur]	the wall
furniture	un meuble
un meuble	furniture
job/proffession	le métier
le métier	job/proffession
I put	je mets [mae]
je mets [mae]	I put
you put	vous mettez
vous mettez	you put
we put	nous mettons
nous mettons	we put
Head	La tête
La tête	Head
Nose	Le nez
Le nez	Nose
The eye	"L'œil"
"L'œil"	The eye
The ear	"L'oreille"
"L'oreille"	The ear
The mouth	La bouche
La bouche	The mouth
Comic strip	Bande dessinée
Bande dessinée	Comic strip
So	Donc
Donc	So
Desk	bureau
bureau	Desk
A tool/ work implement	un outil
un outil	A tool/ work implement
in the past (formerly)	autrefois
autrefois	in the past (formerly)
heater	chauffage
chauffage	heater
veg garden	un jardin potager
un jardin potager	veg garden
orchard	verger
verger	orchard
I go out	Je sors
Je sors	I go out
you go out	vous sortez
vous sortez	you go out
we go out	nous sortons
nous sortons	we go out
I spend (time)	je passe
je passe	I spend (time)
you spend (time)	vous passez
vous passez	you spend (time)
we spend (time)	nous passons
nous passons	we spend (time)
I discover/find	je découvre
je découvre	I discover/find
you find/discover	vous découvrez
vous découvrez	you find/discover
we find/discover	nous découvrons
nous découvrons	we find/discover
I found/discovered	"j'ai découvert"
"j'ai découvert"	I found/discovered
I get up	Je me lève
Je me lève	I get up
you get up	tu te lèves
tu te lèves	you get up
he / she gets up	il / elle se lève
il / elle se lève	he / she gets up
we get up	nous nous levons
nous nous levons	we get up
you get up (formal)	vous vous levez
vous vous levez	you get up (formal)
they get up	ils/elles se lèvent
ils/elles se lèvent	they get up
I got up	je me suis levé
je me suis levé	I got up
you got up (informal)	"tu t'es levé"
"tu t'es levé"	you got up (informal)
he / she got up	"il / elle s'est levé"
"il / elle s'est levé"	he / she got up
we got up	nous nous sommes levés
nous nous sommes levés	we got up
you got up (formal)	vous vous êtes levé
vous vous êtes levé	you got up (formal)
they got up	ils / elles se sont levé(e)s
ils / elles se sont levé(e)s	they got up
I share	Je partage
Je partage	I share
you share	tu partages / vous partagez
tu partages / vous partagez	you share
we share	nous partagons
nous partagons	we share
I start	je commence
je commence	I start
you start	tu commenes / vous commencez
tu commenes / vous commencez	you start
we start	nous commençons
nous commençons	we start
i was doing / did (imparfait)	je faisais
je faisais	i was doing / did (imparfait)
you were doing / did (imparfait)	tu faisais / vous faisiez
tu faisais / vous faisiez	you were doing / did (imparfait)
we were doing / did (imparfait)	nous faisions
nous faisions	we were doing / did (imparfait)
I went (imparfait)	"j'allais"
"j'allais"	I went (imparfait)
you went (imparfait)	tu allais / vous alliez
tu allais / vous alliez	you went (imparfait)
we went (imparfait)	nous allions
nous allions	we went (imparfait)
I had (imparfait)	"J'avais"
"J'avais"	I had (imparfait)
you had (imparfait)	tu avais / vous aviez
tu avais / vous aviez	you had (imparfait)
we had (imparfait)	nous avions (imparfait)
nous avions (imparfait)	we had (imparfait)
I leave	je pars
je pars	I leave
you leave	tu pars / vous partez
tu pars / vous partez	you leave
we leave	nous partons
nous partons	we leave
I left (PC)	je suis parti
je suis parti	I left (PC)
you left (PC)	tu es / vous êtes parti(s)
tu es / vous êtes parti(s)	you left (PC)
we left	nous sommes partis
nous sommes partis	we left
they left (PC)	ils / elles sont partis
ils / elles sont partis	they left (PC)
I left (imparfait)	je partais
je partais	I left (imparfait)
you left / were leaving (imparfait)	tu partias / vous partiez
tu partias / vous partiez	you left / were leaving (imparfait)
we were leaving (imparfait)	nous partions
nous partions	we were leaving (imparfait)
Island	île
île	Island
Homework	devoir
devoir	Homework
almost	presque (pre-sk)
presque (pre-sk)	almost
heating	Chauffage
Chauffage	heating
How much is the rent	le loyer fait combien
le loyer fait combien	How much is the rent
connected	branché
branché	connected
Little bits	petits trucs
petits trucs	Little bits
empty	vide
vide	empty
Full	plein(e)
plein(e)	Full
Bird	"L'oiseau"
"L'oiseau"	Bird
Steel	Acier
Acier	Steel
Luck	La chance
La chance	Luck
A place	Un endroit
Un endroit	A place
A quay	Un quai
Un quai	A quay
False	Faux
Faux	False
To equipt	Équipé
Équipé	To equipt
A team	Une équipe
Une équipe	A team
Metres squared	Metres carrés (car-ree)
Metres carrés (car-ree)	Metres squared
Before	Avant
Avant	Before
Already	Déjà
Déjà	Already
Almost	Presque
Presque	Almost
Hot	Chaud
Chaud	Hot
Word	Mot
Mot	Word
but	mais
mais	but
out	dehors
dehors	out
each	chaque
chaque	each
hand	main
main	hand
legs	jambre
jambre	legs
help	aider
aider	help
same	même
même	same
if	si
si	if
country	pays
pays	country
food	nourriture
nourriture	food
tree	arbre
arbre	tree
arms	bras
bras	arms
body	corps
corps	body
boyfriend/girlfriend	le petit ami
le petit ami	boyfriend/girlfriend
clothing	les vêtements
les vêtements	clothing
yesterday	hier
hier	yesterday
conjugate -er verbs	Given x-er:<br>je x-e<br>tu x-es<br>il/elles x-e<br>nous x-ons<br>vous x-ez<br>ils/elles x-ent
Given x-er:<br>je x-e<br>tu x-es<br>il/elles x-e<br>nous x-ons<br>vous x-ez<br>ils/elles x-ent	conjugate -er verbs
conjugate -ir verbs	Given x-ir:<br>je x-is<br>tu x-is<br>il/elles x-it<br>nous x-issons<br>vous x-issez<br>ils/elles x-issent
Given x-ir:<br>je x-is<br>tu x-is<br>il/elles x-it<br>nous x-issons<br>vous x-issez<br>ils/elles x-issent	conjugate -ir verbs
conjugate -re verb	Given x-re:<br>je x-s<br>tu x-s<br>il/elles x-<br>nous x-ons<br>vous x-ez<br>ils/elles x-ent
Given x-re:<br>je x-s<br>tu x-s<br>il/elles x-<br>nous x-ons<br>vous x-ez<br>ils/elles x-ent	conjugate -re verb
conjugate reflexive se- verb	Given se x:<br>je me ...<br>tu te ...<br>il/elle se...<br>nous nous ...<br>vous vous ...<br>ils/elles se ...
Given se x:<br>je me ...<br>tu te ...<br>il/elle se...<br>nous nous ...<br>vous vous ...<br>ils/elles se ...	conjugate reflexive se- verb
Conjugate imparfait -er	Given x-er:<br>je x-ais<br>tu x-ais<br>il/elles x-ait<br>nous x-ions<br>vous x-iez<br>ils/elles x-aient
Given x-er:<br>je x-ais<br>tu x-ais<br>il/elles x-ait<br>nous x-ions<br>vous x-iez<br>ils/elles x-aient	Conjugate imparfait -er
Conjugate imparfait -ir	Given x-ir:<br>je x-issais<br>tu x-issais<br>il/elles x-issait<br>nous x-issions<br>vous x-issiez<br>ils/elles x-issaient
Given x-ir:<br>je x-issais<br>tu x-issais<br>il/elles x-issait<br>nous x-issions<br>vous x-issiez<br>ils/elles x-issaient	Conjugate imparfait -ir
Conjugate imparfait -re	Given x-re:<br>je x-ais<br>tu x-ais<br>il/elles x-ait<br>nous x-ions<br>vous x-iez<br>ils/elles x-aient
Given x-re:<br>je x-ais<br>tu x-ais<br>il/elles x-ait<br>nous x-ions<br>vous x-iez<br>ils/elles x-aient	Conjugate imparfait -re
Spelling rules for passe compose verbs	-er -&gt; é<br>-ir -&gt; i<br>-re -&gt; u
-er -&gt; é<br>-ir -&gt; i<br>-re -&gt; u	Spelling rules for passe compose verbs
some / few	quelques
quelques	some / few
never	jamais
jamais	never
i try	"j'essaie"
"j'essaie"	i try
you try	tu essaies, vous essayez
tu essaies, vous essayez	you try
we try	nous essayons
nous essayons	we try
i send	"j'envoie"
"j'envoie"	i send
you send	tu envoyes / vous envoyez
tu envoyes / vous envoyez	you send
Bus stop	"L'arrêt de bus"
"L'arrêt de bus"	Bus stop
Forbidden	Interdit
Interdit	Forbidden
I know/am framilar with	Je connais
Je connais	I know/am framilar with
you know/are framilar with	tu connais / vous connaissez
tu connais / vous connaissez	you know/are framilar with
we know / are framilar with	nous connaissons
nous connaissons	we know / are framilar with
The brain	Le cerveau
Le cerveau	The brain
You are right	Vous avez raison
Vous avez raison	You are right
Better	Meilleures
Meilleures	Better
Comma	Virgule (ver-guel)
Virgule (ver-guel)	Comma
"9m ""by"" 2 m"	9m Sur 2m
9m Sur 2m	"9m ""by"" 2 m"
Band aid	Sparadrap
Sparadrap	Band aid
A spray	Une goutte
Une goutte	A spray
Sissors	Ciseaux
Ciseaux	Sissors
To measure	Mesurer
Mesurer	To measure
Before going to bed	Avant de vous couchez
Avant de vous couchez	Before going to bed
Fruits	Fruits (frwee)
Fruits (frwee)	Fruits
Sitting	Assis(e) (a-see)
Assis(e) (a-see)	Sitting
Standing	Debout (debou)
Debout (debou)	Standing
To cut	Pour couper (ceu-pe)
Pour couper (ceu-pe)	To cut
Lift	Ascender
Ascender	Lift
Balcony	Balcon
Balcon	Balcony
Stairs	Escalier
Escalier	Stairs
attic	grenier
grenier	attic
appartment builiding	immeuble
immeuble	appartment builiding
front door	"porte d'entrée"
"porte d'entrée"	front door
bathroom	salle de bains
salle de bains	bathroom
bath	baignoire
baignoire	bath
shower	douche
douche	shower
shelf	étagère
étagère	shelf
bed	lit
lit	bed
coffee table	table basse
table basse	coffee table
painting	tableau
tableau	painting
Hoover	aspirateur
aspirateur	Hoover
dish washer	lave vaisselle
lave vaisselle	dish washer
Washing machine	machine laver
machine laver	Washing machine
Hair	cheveux
cheveux	Hair
to Dry	a sécher (say-shay)
a sécher (say-shay)	to Dry
Outfit	Tenue
Tenue	Outfit
To Thank	remerci
remerci	To Thank
Since when	depuis quand
depuis quand	Since when
how many rooms are there	il y a combien de pièces
il y a combien de pièces	how many rooms are there
What floor?	"C'est a quel étage"
"C'est a quel étage"	What floor?
Its for how many people?	"C'est pour combien de personnes"
"C'est pour combien de personnes"	Its for how many people?
Is it free in xxx	Est-il libre en xxx
Est-il libre en xxx	Is it free in xxx
I buy	je achète
